16:14:23.471 INFO  - initializing database
16:14:23.471 INFO  - loading database... 
16:14:23.593 INFO  - success

16:14:23.600 INFO  - No net-file given. No network will be imported.
16:14:23.600 INFO  - parsing route file
16:14:23.661 INFO  - no global route definitions found (probably per vehicle routes?)
16:14:23.661 INFO  - no vehicle definitions found
16:14:23.661 INFO  - 

16:14:23.675 INFO  - processing flow 11/72     edge 8/26
16:14:23.675 INFO  - processing flow 11/72     edge 9/26
16:14:23.675 INFO  - processing flow 11/72     edge 10/26
16:14:23.675 INFO  - processing flow 11/72     edge 11/26
16:14:23.675 INFO  - processing flow 11/72     edge 12/26
16:14:23.675 INFO  - processing flow 11/72     edge 13/26
16:14:23.675 INFO  - processing flow 11/72     edge 14/26
16:14:23.675 INFO  - processing flow 11/72     edge 15/26
16:14:23.675 INFO  - processing flow 11/72     edge 16/26
16:14:23.675 INFO  - processing flow 11/72     edge 17/26
16:14:23.675 INFO  - processing flow 11/72     edge 18/26
16:14:23.675 INFO  - processing flow 11/72     edge 19/26
16:14:23.675 INFO  - processing flow 11/72     edge 20/26
16:14:23.675 INFO  - processing flow 11/72     edge 21/26
16:14:23.675 INFO  - processing flow 11/72     edge 22/26
16:14:23.675 INFO  - processing flow 11/72     edge 23/26
16:14:23.675 INFO  - processing flow 11/72     edge 24/26
16:14:23.675 INFO  - processing flow 11/72     edge 25/26
16:14:23.675 INFO  - processing flow 11/72     edge 26/26
16:14:23.675 WARN  - vehicle with id f_r2pn_to_mgp has either no or an invalid starting time, assuming 0
16:14:23.675 INFO  - processing flow 12/72     
16:14:23.675 INFO  - processing flow 12/72     edge 1/19
16:14:23.675 INFO  - processing flow 12/72     edge 2/19
16:14:23.675 INFO  - processing flow 12/72     edge 3/19
16:14:23.675 INFO  - processing flow 12/72     edge 4/19
16:14:23.675 INFO  - processing flow 12/72     edge 5/19
16:14:23.675 INFO  - processing flow 12/72     edge 6/19
16:14:23.675 INFO  - processing flow 12/72     edge 7/19
16:14:23.675 INFO  - processing flow 12/72     edge 8/19
16:14:23.675 INFO  - processing flow 12/72     edge 9/19
16:14:23.675 INFO  - processing flow 12/72     edge 10/19
16:14:23.675 INFO  - processing flow 12/72     edge 11/19
16:14:23.675 INFO  - processing flow 12/72     edge 12/19
16:14:23.675 INFO  - processing flow 12/72     edge 13/19
16:14:23.675 INFO  - processing flow 12/72     edge 14/19
16:14:23.675 INFO  - processing flow 12/72     edge 15/19
16:14:23.675 INFO  - processing flow 12/72     edge 16/19
16:14:23.675 INFO  - processing flow 12/72     edge 17/19
16:14:23.675 INFO  - processing flow 12/72     edge 18/19
16:14:23.675 INFO  - processing flow 12/72     edge 19/19
